PlotObservationID,cover,species
HU32,0.1,Dryopteris filix-mas (L.) Schott
HU32,0.1,Cephalanthera longifolia (L.) Fritsch
HU32,0.5,Prenanthes purpurea L.
HU32,0.5,Anemone nemorosa L.
HU32,0.5,Epipactis helleborine (L.) Crantz subsp. helleborine
HU32,0.5,Sorbus aucuparia L. subsp. aucuparia
HU32,87.5,Fagus sylvatica L.
HU32,3,Rubus hirtus Waldst. & Kit.
HU32,3,Abies alba Mill.
HU32,3,Oxalis acetosella L.
KW76,0.1,Poa nemoralis L. subsp. nemoralis
KW76,0.1,Epipactis helleborine (L.) Crantz subsp. helleborine
KW76,0.5,Luzula nivea (L.) DC.
KW76,0.5,Prenanthes purpurea L.
KW76,0.5,Dryopteris filix-mas (L.) Schott
KW76,0.5,Anemone nemorosa L.
KW76,0.5,"Senecio ovatus (G.Gaertn., B.Mey. & Scherb.) Willd."
KW76,0.5,Viola reichenbachiana Jord. ex Boreau
KW76,0.5,Cardamine bulbifera (L.) Crantz
KW76,0.5,Rubus hirtus Waldst. & Kit.
KW76,87.5,Fagus sylvatica L.
KW76,15,Geranium robertianum L.
KW76,3,Galium rotundifolium L. subsp. rotundifolium
KW76,3,Neottia nidus-avis (L.) Rich.
KW76,3,Sanicula europaea L.
YB18,0.5,Poa nemoralis L. subsp. nemoralis
YB18,0.5,Viola reichenbachiana Jord. ex Boreau
YB18,0.5,Veronica officinalis L.
YB18,0.5,Rubus hirtus Waldst. & Kit.
YB18,0.5,Oxalis acetosella L.
YB18,0.5,Dryopteris filix-mas (L.) Schott
YB18,87.5,Fagus sylvatica L.
YB18,3,Luzula nivea (L.) DC.
NX70,0.1,Oxalis acetosella L.
NX70,0.5,Gymnocarpium dryopteris (L.) Newman
NX70,0.5,Rubus hirtus Waldst. & Kit.
NX70,0.5,Poa nemoralis L. subsp. nemoralis
NX70,87.5,Fagus sylvatica L.
NX70,3,Luzula nivea (L.) DC.
NX70,3,Dryopteris filix-mas (L.) Schott
OL48,0.1,Sorbus aucuparia L. subsp. aucuparia
